lamar,58,-110,+23.5,20131109,6,away
butler,89,-110,-23.5,20131109,6,home
alabama a&amp;m,52,-110,+28.5,20131109,7,away
new mexico,88,\N,\N,20131109,7,home
army,84,-110,-11.5,20131109,8,away
citadel,69,-110,+11.5,20131109,8,home
air force,\N,-110,-1.5,20131109,9,away
vmi,\N,-110,+1.5,20131109,9,home
st peter's,80,\N,\N,20131109,10,away
liu brooklyn,87,\N,\N,20131109,10,home
southern polytechnic,78,-110,+22.5,20131109,11,away
georgia st,97,-110,-22.5,20131109,11,home
ball st,73,-110,+14,20131109,12,away
indiana st,82,-110,-14,20131109,12,home
charleston,\N,-110,+19.5,20131109,13,away
louisville,\N,\N,\N,20131109,13,home
temple,78,-110,-4.5,20131109,14,away
pennsylvania,73,-110,+4.5,20131109,14,home
northern iowa,64,-110,+1.5,20131109,15,away
ohio,75,-110,-1.5,20131109,15,home
drake,61,-110,+3,20131109,16,away
illinois-chicago,59,-110,-3,20131109,16,home
florida international,72,-110,+5.5,20131109,17,away
youngstown st,74,-110,-5.5,20131109,17,home
eastern kentucky,68,-110,-12.5,20131109,18,away
kennesaw st,60,-110,+12.5,20131109,18,home
south dakota state,89,\N,\N,20131109,19,away
loyola marymount,98,-110,+2.5,20131109,19,home
grand canyon,59,-110,+12.5,20131109,20,away
san diego,70,-110,-12.5,20131109,20,home
new mexico st,70,-110,-14,20131109,21,away
tennessee st,55,-110,+14,20131109,21,home
manhattan,99,-110,+7.5,20131109,22,away
la salle,90,\N,\N,20131109,22,home
tennessee tech,62,-110,+12,20131109,23,away
south florida,72,-110,-12,20131109,23,home
iona,69,-110,+2,20131109,24,away
cleveland st,73,-110,-2,20131109,24,home
niagara,\N,-110,+14,20131109,25,away
seton hall,\N,-110,-14,20131109,25,home
iupu - ft wayne,80,-110,+17.5,20131109,26,away
dayton,81,-110,-17.5,20131109,26,home
south dakota,46,\N,\N,20131109,27,away
st bonaventure,68,\N,\N,20131109,27,home
northern arizona,74,-110,+7.5,20131109,28,away
texas-san antonio,63,-110,-7.5,20131109,28,home
eastern illinois,55,-110,+13,20131109,29,away
northwestern,72,-110,-13,20131109,29,home
cal st fullerton,\N,\N,\N,20131109,30,away
montana st,\N,-110,-4.5,20131109,30,home
southern,75,-110,+18.5,20131110,1,away
middle tennessee st,78,-110,-18.5,20131110,1,home
coppin st,78,-110,+19.5,20131110,2,away
oregon st,73,-110,-19.5,20131110,2,home
massachusetts,\N,-110,+3.5,20131110,3,away
boston college,\N,-110,-3.5,20131110,3,home
nc-wilmington,62,-110,+18,20131110,4,away
iowa st,95,-110,-18,20131110,4,home
youngstown st,\N,-110,+4.5,20131110,5,away
eastern kentucky,\N,-110,-4.5,20131110,5,home
florida international,66,-110,-3,20131110,6,away
kennesaw st,58,-110,+3,20131110,6,home
elon university,75,-110,-2.5,20131110,7,away
marist,48,-110,+2.5,20131110,7,home
nebraska omaha,75,-110,+29.5,20131110,8,away
iowa,83,-110,-29.5,20131110,8,home
jacksonville st,62,-110,+15.5,20131110,9,away
illinois,86,-110,-15.5,20131110,9,home
tenn-martin,65,-110,+23.5,20131110,10,away
colorado,91,-110,-23.5,20131110,10,home
delaware state,50,-110,+16.5,20131111,1,away
georgia tech,68,-110,-16.5,20131111,1,home
nocarolina a&amp;t,71,PK-110,PK-110,20131111,2,away
utah valley,78,PK-110,PK-110,20131111,2,home
yale,62,-110,+15.5,20131111,3,away
connecticut,80,-110,-15.5,20131111,3,home
kent st,81,\N,\N,20131111,4,away
temple,77,-110,-6.5,20131111,4,home
north texas,\N,-110,+15.5,20131111,5,away
oklahoma,\N,-110,-15.5,20131111,5,home
rhode island,58,\N,\N,20131111,6,away
southern methodist,89,-110,-6,20131111,6,home
rutgers,76,-110,+5.5,20131111,7,away
uab,79,-110,-5.5,20131111,7,home
colorado st,\N,-110,+15.5,20131111,8,away
gonzaga,\N,-110,-15.5,20131111,8,home
long beach st,57,\N,\N,20131111,9,away
arizona,91,-110,-20.5,20131111,9,home
tennessee st,\N,-110,+10,20131111,10,away
western michigan,\N,-110,-10,20131111,10,home
belmont,61,-110,+6,20131111,11,away
richmond,69,\N,\N,20131111,11,home
south dakota,\N,\N,\N,20131111,12,away
canisius,\N,-110,-11.5,20131111,12,home
wis-milwaukee,81,-110,+12.5,20131111,13,away
davidson,77,-110,-12.5,20131111,13,home
georgia southern,80,-110,+15.5,20131111,14,away
miami-florida,81,\N,\N,20131111,14,home
northern arizona,68,-110,+12.5,20131111,15,away
texas tech,88,-110,-12.5,20131111,15,home
liberty,72,-110,+7.5,20131112,1,away
william &amp; mary,84,-110,-7.5,20131112,1,home
vmi,71,-110,+10.5,20131112,2,away
wake forest,98,-110,-10.5,20131112,2,home
morgan st,75,-110,+8.5,20131112,3,away
towson,95,-110,-8.5,20131112,3,home
gardner-webb,64,-110,-8.5,20131112,4,away
furman,75,-110,+8.5,20131112,4,home
southeastern louisiana,63,\N,\N,20131112,5,away
rice,62,\N,\N,20131112,5,home
louisiana state,90,-110,+5,20131112,6,away
massachusetts,92,\N,\N,20131112,6,home
west virginia,82,\N,\N,20131112,7,away
virginia tech,87,-110,+3,20131112,7,home
south carolina,64,-110,+13.5,20131112,8,away
baylor,66,-110,-13.5,20131112,8,home
nc state,57,-110,+7,20131112,9,away
